TOP1-50,Frequency1,TOP51-100,Frequency2
真的,428,害怕,134
兄弟,377,特别,134
想要,364,天空,134
说唱,312,来自,131
喜欢,308,办法,128
到底,300,灵魂,126
感觉,297,燃烧,125
don’t,262,开心,123
一点,260,学会,122
不用,244,成功,121
希望,239,留下,120
从来,233,习惯,119
永远,217,声音,118
这是,216,期待,117
有人,213,故事,117
告诉,212,感受,115
身边,209,跟着,115
就算,204,今晚,115
努力,201,发现,114
离开,199,电话,113
只能,190,身体,113
全都,185,hiphop,113
选择,176,改变,111
别人,172,第一,110
不停,168,经历,108
歌词,168,事情,108
未来,166,听到,107
老子,162,不见,107
记得,161,自由,106
哥们,159,回家,103
im,159,生命,103
忘记,157,游戏,103
也许,157,放弃,102
从不,157,身上,102
眼睛,156,内心,101
朋友,156,好像,100
很多,155,找到,100
梦想,152,背后,100
像是,152,地方,99
人生,152,随便,99
孩子,148,真实,99
现实,147,在乎,99
妈妈,146,一路,98
面对,146,眼泪,98
都会,145,早就,98
回到,143,代表,98
才能,143,所有人,95
东西,136,在意,94
还要,135,讨厌,94
城市,135,回忆,94
