,DATE,Personal Saving Rate,S&P 500,Job Openings,Unemp Rate,Unemp Rate_Female,Unemp Rate_Male,Unemp Rate_White,Unemp Rate_Black,Unemp Rate_Hispanic,Unemp Rate_Asian,Covid Wave
0,2019-10-01,7.2,2977.675217391304,6546,3.6,3.5,3.6,3.5,5.5,4.1,2.8,Pre-Corona
1,2019-11-01,7.5,3104.9044999999996,6070,3.5,3.5,3.5,3.5,5.6,4.2,2.6,Pre-Corona
2,2019-12-01,7.2,3176.7495238095235,5838,3.5,3.5,3.5,3.5,5.9,4.2,2.4,Pre-Corona
3,2020-01-01,7.6,3278.2028571428577,6231,3.6,3.5,3.6,3.5,6.0,4.3,3.2,Pre-Corona
4,2020-02-01,8.3,3277.3142105263164,6236,3.5,3.4,3.6,3.4,5.8,4.4,2.5,Pre-Corona
5,2020-03-01,12.9,2652.3936363636367,5284,4.4,4.4,4.4,4.4,6.7,6.0,4.1,First Wave
6,2020-04-01,33.7,2761.975238095238,4332,14.7,16.2,13.5,16.2,16.7,18.9,14.3,First Wave
7,2020-05-01,24.7,2919.615,4736,13.3,14.5,12.2,14.5,16.8,17.6,14.8,First Wave
8,2020-06-01,19.0,3104.6609090909087,5347,11.1,11.7,10.6,11.7,15.4,14.5,13.9,First Wave
9,2020-07-01,18.6,3207.6190909090906,5879,10.2,10.6,9.8,10.6,14.6,12.9,12.2,Second Wave
10,2020-08-01,15.1,3391.71,5636,8.4,8.6,8.3,8.6,13.0,10.5,10.7,Second Wave
11,2020-09-01,14.6,3526.65,5740,7.9,8.0,7.7,8.0,12.1,10.3,8.8,Second Wave
